Customer_ID,Age,Gender,City_Tier,Income,Avg_Session_Time,Pages_Viewed,Cart_Items,Past_Purchases,Payment_Method,Device,Discount_Used,Days_Since_Last_Visit,Membership_Level,Will_Purchase
10001,56,Female,Tier-2,119386,13.4,19,3,22,UPI,Desktop,No,25,Bronze,1
10002,46,Other,Tier-2,22903,12.4,5,9,42,Wallet,Desktop,No,12,Bronze,1
10003,32,Male,Tier-2,118175,7.98,17,4,29,UPI,Mobile,Yes,8,Silver,0
10004,25,Female,Tier-3,83794,4.17,10,9,32,COD,Mobile,No,0,Gold,0
10005,38,Female,Tier-3,88860,16.73,9,8,14,Card,Desktop,No,0,Silver,1
10006,56,Male,Tier-2,52708,3.66,5,1,45,UPI,Mobile,No,4,Bronze,0
10007,36,Male,Tier-1,95030,11.89,18,6,19,UPI,Mobile,Yes,6,Silver,1
10008,40,Male,Tier-3,104484,2.25,10,5,48,UPI,Desktop,Yes,4,Silver,0
10009,28,Male,Tier-3,83725,23.63,10,2,46,COD,Mobile,No,8,Bronze,0
10010,28,Male,Tier-2,44056,18.04,2,4,2,Card,Tablet,No,11,Bronze,0
10011,41,Other,Tier-2,51397,7.13,18,8,24,UPI,Tablet,Yes,20,Silver,0
10012,53,Male,Tier-1,100123,8.35,18,5,1,Wallet,Mobile,Yes,17,Silver,0
10013,57,Other,Tier-3,62507,9.41,19,6,6,UPI,Tablet,No,4,Bronze,0
10014,41,Male,Tier-3,77812,13.94,15,0,40,COD,Desktop,Yes,2,Gold,0
10015,20,Male,Tier-2,89783,16.53,4,0,32,COD,Mobile,Yes,10,Bronze,0
10016,39,Female,Tier-2,90872,3.76,15,5,0,Wallet,Mobile,No,14,Bronze,0
10017,19,Female,Tier-1,43543,17.19,6,0,23,Card,Desktop,No,14,Bronze,0
10018,41,Female,Tier-1,37093,3.71,1,1,31,Card,Mobile,No,12,Silver,0
10019,47,Female,Tier-2,48650,23.02,13,0,14,Wallet,Desktop,No,14,Bronze,0
10020,55,Female,Tier-1,91162,13.44,4,9,0,Card,Mobile,No,7,Bronze,0
10021,19,Female,Tier-2,118219,23.47,3,3,36,UPI,Mobile,Yes,17,Bronze,1
10022,38,Male,Tier-3,92578,16.78,17,8,32,COD,Mobile,Yes,18,Gold,1
10023,50,Male,Tier-1,107936,11.23,7,3,14,Card,Mobile,Yes,21,Bronze,1
10024,29,Female,Tier-1,82768,20.01,8,2,22,UPI,Mobile,No,2,Bronze,0
10025,39,Female,Tier-3,116309,3.57,17,5,19,UPI,Tablet,No,9,Gold,0
10026,42,Female,Tier-1,32591,15.5,10,0,7,UPI,Mobile,Yes,29,Bronze,0
10027,44,Male,Tier-1,49685,7.93,19,0,43,Card,Mobile,Yes,7,Silver,0
10028,59,Female,Tier-2,45770,21.38,14,1,14,Wallet,Mobile,No,26,Bronze,0
10029,45,Female,Tier-3,17779,22.48,4,1,45,Wallet,Desktop,No,19,Silver,0
10030,33,Male,Tier-3,25241,15.47,6,5,6,UPI,Tablet,Yes,23,Bronze,1
10031,32,Male,Tier-2,28388,8.0,14,8,30,UPI,Mobile,No,5,Bronze,0
10032,20,Other,Tier-2,18042,10.95,8,1,48,Wallet,Desktop,No,19,Bronze,0
10033,54,Female,Tier-3,84086,16.27,13,4,16,Wallet,Desktop,No,25,Silver,1
10034,24,Male,Tier-2,19494,11.78,15,6,1,COD,Desktop,Yes,20,Silver,0
10035,38,Other,Tier-2,16062,19.87,18,5,26,Wallet,Desktop,No,1,Silver,1
10036,26,Male,Tier-2,117945,10.49,4,7,6,COD,Desktop,Yes,25,Bronze,1
10037,56,Other,Tier-1,89469,13.63,11,2,37,UPI,Tablet,Yes,29,Bronze,0
10038,35,Other,Tier-2,94937,6.35,9,4,43,Card,Mobile,No,3,Bronze,0
10039,21,Female,Tier-1,32836,18.05,14,8,28,UPI,Mobile,Yes,9,Gold,1
10040,42,Female,Tier-1,32760,21.9,12,0,13,Wallet,Mobile,Yes,24,Silver,0
10041,31,Other,Tier-3,31766,10.43,19,6,39,Wallet,Tablet,No,8,Bronze,1
10042,26,Female,Tier-1,44722,23.96,12,8,47,Wallet,Tablet,Yes,11,Gold,1
10043,43,Male,Tier-1,15066,2.88,8,5,1,COD,Desktop,No,20,Gold,0
10044,19,Male,Tier-1,35287,7.07,2,4,48,Wallet,Mobile,Yes,20,Bronze,0
10045,37,Other,Tier-2,93323,11.49,1,6,41,COD,Mobile,No,29,Bronze,1
10046,45,Other,Tier-3,101770,11.76,11,0,21,COD,Desktop,No,17,Silver,0
10047,24,Male,Tier-3,16435,20.25,16,3,32,UPI,Mobile,No,16,Silver,1
10048,25,Male,Tier-3,114957,22.41,13,0,44,COD,Mobile,Yes,2,Bronze,0
10049,52,Other,Tier-3,94837,8.97,5,0,37,COD,Mobile,No,7,Bronze,0
10050,31,Male,Tier-3,54592,16.69,4,8,0,Wallet,Mobile,No,10,Silver,0
10051,34,Male,Tier-1,36873,14.69,5,4,0,Card,Tablet,Yes,7,Bronze,0
10052,53,Other,Tier-2,72942,6.08,8,1,26,UPI,Mobile,No,5,Gold,0
10053,57,Female,Tier-1,24824,9.5,8,4,15,COD,Mobile,No,12,Silver,0
10054,21,Male,Tier-1,73803,2.45,9,6,18,COD,Mobile,Yes,0,Silver,0
10055,19,Female,Tier-2,106917,8.99,13,0,3,UPI,Mobile,Yes,1,Bronze,0
10056,23,Female,Tier-2,88788,4.43,15,0,1,Wallet,Mobile,No,28,Bronze,0
10057,59,Male,Tier-2,92773,22.66,19,9,6,Wallet,Mobile,Yes,7,Gold,1
10058,21,Female,Tier-1,53961,22.67,8,8,43,Wallet,Desktop,No,14,Bronze,1
10059,46,Other,Tier-1,18596,17.64,4,4,46,COD,Mobile,No,7,Silver,1
10060,35,Male,Tier-1,85851,24.83,5,1,17,COD,Mobile,No,6,Bronze,0
10061,43,Male,Tier-3,71689,15.34,14,7,15,COD,Tablet,No,9,Silver,1
10062,51,Female,Tier-2,33647,6.61,6,4,38,Card,Mobile,No,10,Gold,0
10063,27,Male,Tier-3,102331,22.35,4,4,14,UPI,Mobile,No,21,Gold,1
10064,53,Male,Tier-3,108509,6.79,13,4,7,COD,Mobile,Yes,15,Gold,0
10065,31,Female,Tier-2,80291,8.14,6,1,8,UPI,Desktop,No,22,Silver,0
10066,48,Female,Tier-1,25764,17.15,2,0,17,COD,Mobile,Yes,9,Bronze,0
10067,32,Male,Tier-2,103599,4.98,11,7,33,UPI,Mobile,No,12,Silver,0
10068,25,Male,Tier-2,64325,16.03,3,6,25,Card,Mobile,No,13,Silver,1
10069,31,Other,Tier-2,68006,8.96,7,2,40,Card,Tablet,No,9,Bronze,0
10070,40,Other,Tier-1,26121,16.4,9,5,36,Card,Mobile,Yes,7,Bronze,1
10071,57,Male,Tier-2,91381,20.36,2,9,10,COD,Mobile,Yes,9,Gold,1
10072,38,Male,Tier-1,81143,11.07,10,0,38,Card,Mobile,Yes,12,Bronze,0
10073,33,Other,Tier-3,29303,9.61,14,6,1,Card,Mobile,Yes,12,Bronze,0
10074,35,Female,Tier-2,88697,9.61,4,4,29,Card,Mobile,Yes,4,Gold,0
10075,41,Male,Tier-1,109242,10.23,12,2,27,Card,Mobile,No,7,Bronze,0
10076,43,Other,Tier-1,103977,20.02,14,9,12,Wallet,Mobile,No,22,Gold,1
10077,42,Other,Tier-2,72298,11.9,13,6,14,Wallet,Mobile,No,4,Gold,1
10078,58,Male,Tier-2,74121,18.41,6,1,26,UPI,Tablet,Yes,16,Bronze,0
10079,46,Male,Tier-2,104806,19.02,12,4,22,Wallet,Mobile,Yes,27,Bronze,1
10080,32,Other,Tier-2,99759,14.26,13,3,28,COD,Mobile,No,22,Gold,1
10081,18,Male,Tier-2,87581,12.47,7,5,0,Wallet,Mobile,Yes,20,Bronze,0
10082,42,Female,Tier-1,59195,10.7,1,4,39,Card,Mobile,Yes,13,Gold,1
10083,24,Male,Tier-3,32801,17.07,17,7,11,Wallet,Mobile,No,14,Silver,1
10084,26,Other,Tier-2,75683,13.83,17,3,6,COD,Desktop,Yes,23,Bronze,1
10085,41,Other,Tier-1,93227,8.71,2,1,7,UPI,Mobile,No,24,Bronze,0
10086,18,Male,Tier-1,50876,14.26,13,4,6,COD,Desktop,Yes,16,Bronze,1
10087,25,Other,Tier-1,77959,17.13,15,6,20,Wallet,Desktop,No,20,Bronze,1
10088,41,Female,Tier-1,56447,14.52,14,1,44,UPI,Desktop,No,26,Bronze,0
10089,28,Male,Tier-2,45944,2.35,6,3,26,UPI,Desktop,Yes,5,Silver,0
10090,34,Male,Tier-1,65472,24.84,10,8,40,Card,Desktop,Yes,29,Gold,1
10091,25,Other,Tier-3,113059,19.41,3,6,21,COD,Mobile,No,2,Silver,1
10092,52,Female,Tier-2,101344,7.6,4,4,20,COD,Desktop,Yes,24,Bronze,0
10093,52,Male,Tier-1,113400,19.49,14,6,18,Card,Mobile,No,12,Bronze,1
10094,50,Other,Tier-1,30807,19.66,10,7,45,COD,Mobile,No,13,Silver,1
10095,22,Male,Tier-2,44853,15.82,5,1,37,Wallet,Mobile,No,5,Bronze,0
10096,59,Female,Tier-1,73861,16.37,11,9,33,COD,Tablet,Yes,11,Bronze,1
10097,56,Other,Tier-1,118440,5.71,17,3,46,UPI,Desktop,No,20,Gold,0
10098,58,Male,Tier-1,20666,10.56,18,0,2,COD,Mobile,No,17,Bronze,0
10099,45,Other,Tier-1,70631,15.53,3,1,2,Wallet,Mobile,Yes,0,Bronze,0
10100,24,Other,Tier-1,23615,3.79,8,1,3,Card,Mobile,Yes,21,Bronze,0
10101,26,Female,Tier-1,29738,24.5,14,9,43,Wallet,Desktop,Yes,19,Bronze,1
10102,25,Female,Tier-3,33235,4.34,10,2,27,Wallet,Tablet,Yes,22,Gold,0
10103,29,Male,Tier-1,16917,11.28,13,9,36,COD,Tablet,Yes,12,Silver,1
10104,51,Other,Tier-2,60953,23.01,14,1,39,Card,Desktop,No,14,Gold,0
10105,50,Other,Tier-1,116061,2.35,15,3,27,COD,Mobile,Yes,17,Silver,0
10106,40,Other,Tier-1,108097,17.71,6,5,46,Wallet,Mobile,Yes,7,Bronze,1
10107,41,Male,Tier-2,34948,10.93,1,5,41,Card,Mobile,Yes,27,Bronze,1
10108,54,Female,Tier-1,68258,18.5,19,7,11,Wallet,Mobile,No,18,Bronze,1
10109,52,Female,Tier-1,40416,17.27,18,8,37,Wallet,Desktop,No,28,Bronze,1
10110,57,Other,Tier-2,36018,15.73,16,0,49,UPI,Mobile,No,21,Bronze,0
10111,39,Male,Tier-1,30629,21.9,9,8,48,UPI,Mobile,No,19,Bronze,1
10112,44,Other,Tier-2,98554,2.12,19,6,49,Wallet,Tablet,No,0,Silver,0
10113,52,Female,Tier-1,15125,5.36,4,0,10,COD,Desktop,No,23,Silver,0
10114,18,Other,Tier-1,113003,20.1,18,5,0,UPI,Mobile,Yes,2,Bronze,0
10115,52,Other,Tier-1,77394,16.61,4,1,3,Wallet,Mobile,Yes,20,Gold,0
10116,54,Other,Tier-3,103185,23.29,5,1,45,Wallet,Desktop,Yes,17,Gold,0
10117,31,Female,Tier-2,80887,12.1,19,3,49,Card,Mobile,Yes,14,Silver,1
10118,20,Male,Tier-2,56327,14.64,14,3,31,Card,Mobile,No,12,Gold,1
10119,18,Other,Tier-2,72735,16.36,5,8,4,COD,Desktop,Yes,17,Bronze,1
10120,22,Female,Tier-3,15449,6.05,6,1,3,COD,Desktop,No,15,Gold,0
10121,43,Other,Tier-2,22172,5.3,19,9,44,Card,Mobile,No,24,Bronze,0
10122,31,Male,Tier-3,83604,7.84,2,4,48,COD,Tablet,No,19,Gold,0
10123,56,Other,Tier-2,28469,10.87,9,6,42,UPI,Tablet,No,29,Gold,1
10124,44,Male,Tier-1,70498,13.22,11,0,47,COD,Mobile,Yes,18,Bronze,0
10125,26,Female,Tier-3,21863,12.68,4,4,32,Card,Desktop,No,11,Gold,1
10126,32,Male,Tier-3,39344,20.22,14,5,14,UPI,Desktop,No,20,Bronze,1
10127,32,Male,Tier-1,35841,5.08,16,4,7,COD,Mobile,No,8,Bronze,0
10128,43,Female,Tier-2,114096,10.48,1,3,32,Wallet,Tablet,No,29,Silver,1
10129,59,Male,Tier-2,82914,23.76,7,9,49,UPI,Desktop,No,26,Silver,1
10130,30,Male,Tier-1,70869,19.75,2,4,19,Wallet,Desktop,No,1,Silver,1
10131,49,Female,Tier-3,58328,11.84,13,1,24,Wallet,Mobile,No,13,Bronze,0
10132,56,Male,Tier-2,20856,15.37,17,1,33,UPI,Mobile,Yes,0,Gold,0
10133,49,Male,Tier-2,117656,12.82,17,7,8,Wallet,Mobile,No,26,Bronze,1
10134,21,Other,Tier-1,66575,10.83,2,0,43,UPI,Desktop,Yes,16,Bronze,0
10135,47,Male,Tier-1,28486,5.05,11,3,15,Card,Mobile,No,23,Bronze,0
10136,54,Male,Tier-1,115680,5.85,19,3,12,Card,Desktop,Yes,5,Bronze,0
10137,40,Male,Tier-1,118706,8.63,19,2,5,UPI,Desktop,Yes,10,Bronze,0
10138,56,Female,Tier-2,25533,10.4,10,0,9,UPI,Mobile,Yes,14,Bronze,0
