customer_id,age,gender,region,annual_income,monthly_spend,loyalty_points,purchases_per_month,avg_session_duration_min,days_since_last_purchase,return_rate_pct,customer_satisfaction_score,membership_tier,primary_category,device_preference,cluster_label
CUST000001,30,Female,North,34897.79,2609.02,84555,15.5,60.9,114,4.99,3.6,Bronze,Luxury,Desktop,1
CUST000002,55,Female,South,10000.0,741.86,38062,5.3,36.1,42,4.18,3.3,Bronze,Luxury,Tablet,2
CUST000003,25,Female,East,10000.0,295.42,34100,2.9,11.3,14,4.84,2.7,Gold,Fashion,Mobile,0
CUST000004,28,Male,North,83760.31,5845.3,86802,21.6,84.6,46,4.01,4.4,Platinum,Luxury,Tablet,3
CUST000005,51,Male,South,10000.0,323.91,25048,1.1,10.1,124,3.45,4.4,Silver,Home & Garden,Desktop,4
CUST000006,53,Male,East,10000.0,674.96,65000,3.0,42.3,57,2.45,3.9,Gold,Luxury,Desktop,2
CUST000007,26,Male,South,97156.59,5373.22,151239,14.8,99.1,62,2.94,4.5,Gold,Home & Garden,Mobile,3
CUST000008,27,Male,West,74101.92,4763.64,111315,22.7,96.1,44,3.29,3.5,Platinum,Luxury,Mobile,3
CUST000009,56,Female,East,10000.0,871.56,54327,2.1,39.1,15,3.41,3.2,Gold,Electronics,Desktop,2
CUST000010,18,Female,North,10000.0,385.96,38038,2.8,6.6,13,4.82,3.8,Silver,Home & Garden,Mobile,0
CUST000011,27,Male,South,110255.51,4227.21,112559,27.0,88.2,26,4.85,3.9,Silver,Electronics,Mobile,3
CUST000012,68,Male,South,10000.0,741.27,49940,4.8,49.8,24,1.68,3.9,Silver,Home & Garden,Desktop,2
CUST000013,25,Female,West,61041.65,2042.32,84363,15.9,52.4,45,4.2,3.2,Silver,Luxury,Desktop,1
CUST000014,42,Male,South,10000.0,248.77,24901,1.0,9.0,36,3.67,4.1,Bronze,Home & Garden,Desktop,4
CUST000015,36,Female,South,10000.0,192.67,19678,1.5,8.7,254,3.38,4.0,Silver,Electronics,Desktop,4
CUST000016,20,Female,North,10000.0,353.83,34214,3.0,11.5,12,7.53,3.3,Bronze,Fashion,Desktop,0
CUST000017,28,Female,South,40343.29,2685.24,91064,12.6,58.5,22,2.47,4.1,Silver,Luxury,Desktop,1
CUST000018,31,Male,North,42030.71,2605.84,70426,11.8,70.7,7,4.47,3.4,Platinum,Electronics,Desktop,1
CUST000019,29,Male,East,44135.02,2461.5,104802,16.5,77.2,24,3.39,2.7,Platinum,Luxury,Tablet,1
CUST000020,51,Male,East,31985.84,2282.63,72468,10.9,62.1,42,5.0,4.3,Silver,Luxury,Mobile,1
CUST000021,30,Male,North,93248.39,4614.2,106892,21.1,73.9,60,4.2,3.8,Platinum,Home & Garden,Mobile,3
CUST000022,27,Male,East,61057.76,6278.54,108660,15.6,70.1,15,4.47,3.6,Platinum,Luxury,Mobile,3
CUST000023,26,Male,West,92942.6,3213.27,107345,18.5,90.0,125,4.0,4.3,Platinum,Luxury,Desktop,3
CUST000024,35,Male,South,62807.0,5118.87,124529,21.5,117.0,54,2.37,3.0,Platinum,Electronics,Desktop,3
